address,original_airdrop_amount,reported_time
sif10gezvswgtaj8gxz03wam589r6g08phpq782895,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif10hck93uhkku2hm3pdzu2nk0jexew5sgtfujasj,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif129lqfp6zngs6w86pr0gutuy8mwtcjwxcvl23p9,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif12ejq4nuprlua9wwp3040ds7auj9lpy7pecnlqc,606.766857102463,2021-08-03 15:46:11.619469+00:00
sif12xvqfjs25yvhur0msd5ajmgkz7lzf99mqfyf3w,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif138s8cmcw9wlmnyc23cl5gnurzkxgtrw2ffx79z,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif13zalp6t8aqvvhlp0y2tx35llv4ede974rx8d0v,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif140mtc9tsl84l5udw6j6vn672nev95w69slz5wx,278.768956289028,2021-08-03 15:46:11.619469+00:00
sif14gzyqslyztvewsddlhx7zsfjjj24vvxcjjrszd,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif17klztuasu97qm3sl7snu3qcaz285m6d0mxks8e,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif17yhuk76x7q7dyznyjfl07hjus527vs0hq9x3hv,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif19w4spuuvzp2paqt4s5jtw63nc8vdhdaqkcgdkx,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif19xew5txww55750ajnhq0s7rnpdu8wyp3sa9rch,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1axadee7v2ynxr6yxep8qgs23tnht4hd7qxh0z5,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1c30y7dz2za4edtmc74ww25dgnd3cr9s7xwat0x,278.768956289028,2021-08-03 15:46:11.619469+00:00
sif1dz54esyq7w7s35yslg50zgq3tjkxmxdxyhd3u9,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1e20v982eqmjdrqyqk0quf9m253r4e2aa3dtzdw,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1eswdrqx8ndefhkw7clqewy3mdjg3ux8l0jxse4,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1f7yg6ptls0jfjlnwvccwelnaa07f4g4s30xwlw,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1fc7v3240m74eenh8ck6gq025lca0cslfmdhady,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1gk4c7awgsr0eer99uq04yxrg79qa63ffe6c86r,278.768956289028,2021-08-03 15:46:11.619469+00:00
sif1hv0m6ydwp8un5askq2em4eyngn6vflmfz6ft2e,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1j76zdn4ngdxkdcw7nvz00585p2g8y5r9vlpwv7,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1jpsve6ch4eln8xkn0aah9x7gngf3dengkwyujk,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1ncpmkeszsynsgux6023rfwxa7jwhz2yw80vnd7,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1p7gruhvk6q7dmdyf5t36lmhlq4tn02d5cj8x0s,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1pppc5gznc9s7wcgp44r0qmrrez56kd7sy8ggsl,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1prllgryr4a4hjgmcf8dgdrzr94kw5kf64cdzqr,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1qchdgnqzgqj7y4cyxcd3j2qf65ejlfxnuuqv3v,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1rlwdujn0zajdwt0faskk7m77kyzj4kur0uzyly,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1rulv57wuzaj3zthsue4ratnpltmup9w42tyvmf,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1tasrdx34as3wzszjpvlpp289akmkl4yl8r605k,724.560682394591,2021-08-03 15:46:11.619469+00:00
sif1tjdwtum0yv7glcnswupwrukxpquetarrkwwncd,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1twa9ltpqvvtjl7933qp8484qf7y0fu72u6cxur,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1v8km3twa5jf26ands98pr9dx7kj2k54ygywjh2,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1vak308rfyy2vdpa94h7t8jf3u6uet6x3c3zeq0,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1vdg4sdle4sg5fjc7sulpwry35s0384ljpstt5t,773.789626918998,2021-08-03 15:46:11.619469+00:00
sif1wgkyh26klukjs67lychymwkmgye0c6yrzvlwaa,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1ymuyfrfg60xuunggy7ws7d39mhxseexufdykx0,327.997900813435,2021-08-03 15:46:11.619469+00:00
sif1yy4kcsyje7czgx425q728qkyaj4hpjs87d8676,278.768956289028,2021-08-03 15:46:11.619469+00:00
sif1za9x79c0qv0ueevhh3wxzm0zqn9v2ad6zqp8ym,724.560682394591,2021-08-03 15:46:11.619469+00:00
sif1zsm89rrlsp0y5tlnkpvsuqkpshd208hrl3rkuz,327.997900813435,2021-08-03 15:46:11.619469+00:00
